variant,layer,projection,frob_E,spec_E_check,frob_W,ratio
m2b,0,o_proj,1.3310678005218506,1.3310678005218506,63.56478500366211,0.020940333558041056
m2b,0,down_proj,2.5121114253997803,2.5121114253997803,106.39189910888672,0.023611867505332916
m2b,1,o_proj,2.288449287414551,2.288449287414551,59.78000259399414,0.03828118414375014
m2b,1,down_proj,2.624246120452881,2.624246120452881,108.31302642822266,0.024228351907348167
m2b,2,o_proj,2.218104839324951,2.218104839324951,67.74276733398438,0.03274305031545706
m2b,2,down_proj,3.59928035736084,3.59928035736084,105.21880340576172,0.034207577361250865
m2b,3,o_proj,1.6275787353515625,1.6275787353515625,63.57655715942383,0.025600296840079986
m2b,3,down_proj,2.4576902389526367,2.4576902389526367,104.7504653930664,0.02346233240807458
m2b,4,o_proj,1.5375797748565674,1.5375797748565674,62.46060562133789,0.024616792609697288
m2b,4,down_proj,2.391000986099243,2.391000986099243,102.76004028320312,0.023267808960659483
m2b,5,o_proj,2.419795274734497,2.419795274734497,78.36988830566406,0.03087659465963039
m2b,5,down_proj,2.2807724475860596,2.2807724475860596,105.7091064453125,0.021575931575639543
m2b,6,o_proj,1.8377301692962646,1.8377301692962646,66.86538696289062,0.027484028026580922
m2b,6,down_proj,2.248319149017334,2.248319149017334,105.70169830322266,0.021270416512776
m2b,7,o_proj,1.688581943511963,1.688581943511963,67.971435546875,0.024842522891067524
m2b,7,down_proj,2.4175474643707275,2.4175474643707275,104.82913208007812,0.0230617903287035
m2b,8,o_proj,1.3667296171188354,1.3667296171188354,66.69747924804688,0.020491473328939306
m2b,8,down_proj,2.6347172260284424,2.6347172260284424,101.5910415649414,0.025934542903019817
m2b,9,o_proj,1.4877375364303589,1.4877375364303589,63.15673065185547,0.023556278500724625
m2b,9,down_proj,2.8326714038848877,2.8326714038848877,105.72559356689453,0.026792674397165758
m2b,10,o_proj,2.2091965675354004,2.2091965675354004,65.95577239990234,0.03349512085372336
m2b,10,down_proj,3.4717485904693604,3.4717485904693604,98.68649291992188,0.035179572074635124
m2b,11,o_proj,2.6034717559814453,2.6034717559814453,71.12318420410156,0.03660510683141359
m2b,11,down_proj,3.2973780632019043,3.2973780632019043,100.94623565673828,0.03266469563475793
m2b,12,o_proj,2.148205041885376,2.148205041885376,61.914859771728516,0.03469611414457708
m2b,12,down_proj,2.93115234375,2.93115234375,101.75801086425781,0.02880512618962325
m2b,13,o_proj,1.7299330234527588,1.7299330234527588,63.7784309387207,0.027124107601751837
m2b,13,down_proj,2.4033429622650146,2.4033429622650146,104.60979461669922,0.022974358864493564
m2b,14,o_proj,1.470833659172058,1.470833659172058,63.928192138671875,0.023007590391130605
m2b,14,down_proj,2.201538324356079,2.201538324356079,97.69435119628906,0.022534960285807242
m2b,15,o_proj,1.383223533630371,1.383223533630371,58.18947982788086,0.0237710242078434
m2b,15,down_proj,1.986514925956726,1.986514925956726,89.46987915039062,0.022203169880419503
m2b,16,o_proj,1.5460249185562134,1.5460249185562134,56.821624755859375,0.027208389855075187
m2b,16,down_proj,2.5008203983306885,2.5008203983306885,83.39749145507812,0.029986758051082987
