variant,component_family,count_changed,total_frob,mean_rank_95
gemma_obliteratus,attention.q_proj,27,52.644031,105.63
gemma_obliteratus,attention.k_proj,7,6.476973,3.714
gemma_obliteratus,attention.v_proj,7,7.049319,3.714
gemma_obliteratus,attention.o_proj,27,69.167241,111.0
gemma_obliteratus,mlp.gate_proj,42,112.199373,650.952
gemma_obliteratus,mlp.up_proj,42,113.382228,644.238
gemma_obliteratus,mlp.down_proj,42,97.468115,720.595
gemma_obliteratus,embed_tokens,1,17.086216,2.0
gemma_obliteratus,lm_head,0,0.0,
gemma_obliteratus,*_norm,0,0.0,
gemma_obliteratus,other,6,3.6e-05,2341.8
gemma_trevorjs,attention.q_proj,0,0.0,
gemma_trevorjs,attention.k_proj,0,0.0,
gemma_trevorjs,attention.v_proj,0,0.0,
gemma_trevorjs,attention.o_proj,42,56.028457,1.0
gemma_trevorjs,mlp.gate_proj,0,0.0,
gemma_trevorjs,mlp.up_proj,0,0.0,
gemma_trevorjs,mlp.down_proj,42,85.423012,1.0
gemma_trevorjs,embed_tokens,0,0.0,
gemma_trevorjs,lm_head,0,0.0,
gemma_trevorjs,*_norm,0,0.0,
gemma_trevorjs,other,0,0.0,
