layer_idx,variant,weight_name,cosine_abs
17,gemma_obliteratus,down_proj.weight,0.010965
18,gemma_obliteratus,down_proj.weight,0.044666
19,gemma_obliteratus,down_proj.weight,0.009401
20,gemma_obliteratus,down_proj.weight,0.024853
21,gemma_obliteratus,down_proj.weight,0.007628
22,gemma_obliteratus,down_proj.weight,0.029597
23,gemma_obliteratus,down_proj.weight,0.009945
24,gemma_obliteratus,down_proj.weight,0.097012
25,gemma_obliteratus,down_proj.weight,0.124762
26,gemma_obliteratus,down_proj.weight,0.064547
27,gemma_obliteratus,down_proj.weight,0.064525
28,gemma_obliteratus,down_proj.weight,0.084497
29,gemma_obliteratus,down_proj.weight,0.046985
30,gemma_obliteratus,down_proj.weight,0.000603
31,gemma_obliteratus,down_proj.weight,0.019526
32,gemma_obliteratus,down_proj.weight,0.014837
33,gemma_obliteratus,down_proj.weight,0.035803
34,gemma_obliteratus,down_proj.weight,0.007747
35,gemma_obliteratus,down_proj.weight,0.038339
36,gemma_obliteratus,down_proj.weight,0.091739
37,gemma_obliteratus,down_proj.weight,0.07985
38,gemma_obliteratus,down_proj.weight,0.057569
39,gemma_obliteratus,down_proj.weight,0.084116
40,gemma_obliteratus,down_proj.weight,0.158419
0,gemma_trevorjs,down_proj.weight,0.090565
1,gemma_trevorjs,down_proj.weight,0.157043
2,gemma_trevorjs,down_proj.weight,0.193745
3,gemma_trevorjs,down_proj.weight,0.047688
4,gemma_trevorjs,down_proj.weight,0.089953
5,gemma_trevorjs,down_proj.weight,0.094117
6,gemma_trevorjs,down_proj.weight,0.118347
7,gemma_trevorjs,down_proj.weight,0.096638
8,gemma_trevorjs,down_proj.weight,0.102033
9,gemma_trevorjs,down_proj.weight,0.003667
10,gemma_trevorjs,down_proj.weight,0.028644
11,gemma_trevorjs,down_proj.weight,0.064055
12,gemma_trevorjs,down_proj.weight,0.063303
13,gemma_trevorjs,down_proj.weight,0.070037
14,gemma_trevorjs,down_proj.weight,0.052554
15,gemma_trevorjs,down_proj.weight,0.057269
16,gemma_trevorjs,down_proj.weight,0.045891
17,gemma_trevorjs,down_proj.weight,0.001487
18,gemma_trevorjs,down_proj.weight,0.023966
19,gemma_trevorjs,down_proj.weight,0.028853
20,gemma_trevorjs,down_proj.weight,0.076074
21,gemma_trevorjs,down_proj.weight,0.008977
22,gemma_trevorjs,down_proj.weight,0.041619
23,gemma_trevorjs,down_proj.weight,0.042038
24,gemma_trevorjs,down_proj.weight,0.032385
25,gemma_trevorjs,down_proj.weight,0.021592
26,gemma_trevorjs,down_proj.weight,0.024582
27,gemma_trevorjs,down_proj.weight,0.070775
28,gemma_trevorjs,down_proj.weight,0.051927
29,gemma_trevorjs,down_proj.weight,0.03641
30,gemma_trevorjs,down_proj.weight,0.080324
31,gemma_trevorjs,down_proj.weight,0.063908
32,gemma_trevorjs,down_proj.weight,0.031568
33,gemma_trevorjs,down_proj.weight,0.042571
34,gemma_trevorjs,down_proj.weight,0.030545
35,gemma_trevorjs,down_proj.weight,0.041445
36,gemma_trevorjs,down_proj.weight,0.002422
37,gemma_trevorjs,down_proj.weight,0.007492
38,gemma_trevorjs,down_proj.weight,0.000571
39,gemma_trevorjs,down_proj.weight,0.019367
40,gemma_trevorjs,down_proj.weight,0.011679
41,gemma_trevorjs,down_proj.weight,0.013249
17,gemma_obliteratus,o_proj.weight,0.01053
18,gemma_obliteratus,o_proj.weight,0.041247
19,gemma_obliteratus,o_proj.weight,0.000181
20,gemma_obliteratus,o_proj.weight,0.013046
21,gemma_obliteratus,o_proj.weight,0.01075
22,gemma_obliteratus,o_proj.weight,0.043822
23,gemma_obliteratus,o_proj.weight,0.003388
24,gemma_obliteratus,o_proj.weight,0.084348
25,gemma_obliteratus,o_proj.weight,0.113107
26,gemma_obliteratus,o_proj.weight,0.058819
27,gemma_obliteratus,o_proj.weight,0.065331
28,gemma_obliteratus,o_proj.weight,0.085771
29,gemma_obliteratus,o_proj.weight,0.046768
30,gemma_obliteratus,o_proj.weight,0.000835
31,gemma_obliteratus,o_proj.weight,0.01961
32,gemma_obliteratus,o_proj.weight,0.002892
33,gemma_obliteratus,o_proj.weight,0.053041
34,gemma_obliteratus,o_proj.weight,0.006323
35,gemma_obliteratus,o_proj.weight,0.040778
36,gemma_obliteratus,o_proj.weight,0.095572
37,gemma_obliteratus,o_proj.weight,0.08994
38,gemma_obliteratus,o_proj.weight,0.038269
39,gemma_obliteratus,o_proj.weight,0.125738
40,gemma_obliteratus,o_proj.weight,0.157867
0,gemma_trevorjs,o_proj.weight,0.086799
1,gemma_trevorjs,o_proj.weight,0.18317
2,gemma_trevorjs,o_proj.weight,0.209263
3,gemma_trevorjs,o_proj.weight,0.040523
4,gemma_trevorjs,o_proj.weight,0.096595
5,gemma_trevorjs,o_proj.weight,0.097706
6,gemma_trevorjs,o_proj.weight,0.114517
7,gemma_trevorjs,o_proj.weight,0.09775
8,gemma_trevorjs,o_proj.weight,0.103559
9,gemma_trevorjs,o_proj.weight,0.004076
10,gemma_trevorjs,o_proj.weight,0.04251
11,gemma_trevorjs,o_proj.weight,0.06727
12,gemma_trevorjs,o_proj.weight,0.070087
13,gemma_trevorjs,o_proj.weight,0.075461
14,gemma_trevorjs,o_proj.weight,0.0537
15,gemma_trevorjs,o_proj.weight,0.060915
16,gemma_trevorjs,o_proj.weight,0.050468
17,gemma_trevorjs,o_proj.weight,0.000331
18,gemma_trevorjs,o_proj.weight,0.025349
19,gemma_trevorjs,o_proj.weight,0.033472
20,gemma_trevorjs,o_proj.weight,0.07324
21,gemma_trevorjs,o_proj.weight,0.002601
22,gemma_trevorjs,o_proj.weight,0.039247
23,gemma_trevorjs,o_proj.weight,0.039336
24,gemma_trevorjs,o_proj.weight,0.033651
25,gemma_trevorjs,o_proj.weight,0.02447
26,gemma_trevorjs,o_proj.weight,0.026043
27,gemma_trevorjs,o_proj.weight,0.068615
28,gemma_trevorjs,o_proj.weight,0.055665
